sample_id,clim_precip,clim_temp,soil_texture,topo_elevation,topo_slope
450,0.1219300283741754,290.8760716574946,7,48,1.4547578
451,0.1143833381681611,290.2489646574802,8,61,2.4517872
452,0.1171605488720129,290.40316730352055,7,64,5.0140157
453,0.1223759202535991,291.12533592947455,5,41,0.92740995
454,0.1213062770760364,290.6990878361986,8,71,3.5729682
455,0.1128469120766809,290.01288643031097,8,64,2.4605677
456,0.1169834767543549,290.3895139344508,4,52,2.2630682
457,0.1183448490892374,290.4634617821205,8,62,3.386368
458,0.12506202892736,291.1558071425316,4,40,1.8543341
459,0.1224245034496717,290.7383852008089,8,51,1.4574343
460,0.1132111527106175,290.179697058203,8,70,3.7047918
461,0.1234832216996687,290.85576974965016,8,59,1.8543341
462,0.1098249897288186,289.8286532233556,8,192,4.4006934
463,0.1145326422920086,290.23958008715897,8,65,4.619183
464,0.1139285097311048,290.21073191071366,8,68,1.4655554
465,0.1172100759703308,290.4119652238462,8,61,2.263145
466,0.1122199588466246,289.769322176102,8,66,1.1418661
467,0.1080237870070234,289.11702875225103,7,161,2.944609
468,0.1172095085656081,290.4012913850346,8,58,3.001119
469,0.1218394874884758,290.8376660825973,5,47,1.1220332
470,0.1084114971516749,289.30079859165727,8,140,2.466792
471,0.1250152685807757,291.0093531335959,8,48,1.452329
472,0.1219341240844251,290.83158226433,8,51,3.3631294
473,0.1215024436470459,290.6423964774252,8,65,0.92740995
474,0.1078701140821159,289.0456295016794,8,192,5.3456044
475,0.1098776737372883,289.6350262842776,7,69,1.4708906
476,0.1196512402174843,290.56236412578244,8,63,0.92740995
477,0.1223242155507449,291.05480996041786,7,42,2.164064
478,0.1189766551839028,290.5284465756613,7,54,2.441238
479,0.1208731449919858,290.60048128420954,8,65,3.50264
480,0.1176439856219297,290.4453680643227,8,60,2.2624931
481,0.1090474424279847,289.36415627878966,8,120,3.5973103
482,0.1255992506227632,291.14334991012987,8,45,2.994761
